Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
EBC-1,318,80,12,16.33,0.3009,0.4015,0.408,0.4935,0.4069,0.4589,0.4708,0.5357,0.3907,0.4053,0.3626,0.3994,0.3268,0.1273,0.1212,0.0353,57.5,80.0,0.1667,0.6508,0.4297,0.4182,0.3699,0.3495,0.286,0.242,0.2738,0.3009,0.1667,0.2308,0.5391,0.4273,0.3668,0.3472,0.286,0.242,0.3251,0.3009,0.1667,0.2308,0.4538,0.4364,0.3668,0.3472,0.286,0.242,0.2738,0.3009
EKVX,334,84,12,4.78,0.6532,0.6937,0.5316,0.7013,0.6532,0.7165,0.7443,0.7468,0.6658,0.6278,0.7418,0.6481,0.6759,0.0502,0.0553,0.0158,83.33,92.86,,,,0.8485,0.825,0.7917,0.6786,0.5846,0.6354,0.6532,,,,1.0,0.7875,0.7639,0.6726,0.6953,0.6319,0.6532,,,0.76,0.7273,0.7317,0.5918,0.6071,0.5846,0.6319,0.6532
EMC-BAC-1,253,64,12,17.67,0.4808,0.5677,0.602,0.5556,0.5434,0.5495,0.5192,0.5374,0.5596,0.501,0.3939,0.503,0.501,0.182,0.1516,0.0912,46.88,64.06,0.0,0.1667,0.3125,0.2273,0.1786,0.3059,0.3889,0.5,0.455,0.4808,0.0,0.1667,0.2812,0.2159,0.1786,0.5179,0.4699,0.4032,0.5125,0.4808,0.0,0.1667,0.2812,0.2273,0.1786,0.5179,0.4774,0.419,0.455,0.4808
EMC-BAC-2,300,75,12,24.27,0.4391,0.5051,0.4604,0.4341,0.4696,0.4696,0.4533,0.5325,0.4138,0.4569,0.5051,0.4909,0.4797,0.2441,0.1828,0.1282,14.67,58.67,0.1429,0.4722,0.549,0.5625,0.5143,0.4733,0.598,0.5128,0.4435,0.4391,0.1429,0.2692,0.598,0.5909,0.4559,0.5202,0.4615,0.4637,0.4435,0.4391,0.1429,0.3077,0.6176,0.5979,0.4964,0.5202,0.5561,0.5128,0.4435,0.4391
EPLC-272H,322,81,12,31.51,0.5175,0.4717,0.4783,0.5168,0.4825,0.5671,0.6385,0.6,0.4629,0.5329,0.5371,0.4734,0.5336,0.3022,0.2004,0.1935,3.7,51.85,0.7222,0.5303,0.5625,0.4522,0.4091,0.6111,0.5471,0.5735,0.5728,0.5175,0.8333,0.7083,0.58,0.4587,0.4615,0.4981,0.5416,0.5067,0.5315,0.5175,0.5714,0.6143,0.62,0.4391,0.5137,0.5827,0.5471,0.5652,0.5728,0.5175
H3255,307,77,12,8.85,0.5588,0.5515,0.7042,0.6176,0.6634,0.6348,0.6062,0.5997,0.6013,0.4926,0.518,0.5523,0.6422,0.0617,0.0717,0.0208,75.32,90.91,0.6667,0.2857,0.5375,0.3981,0.3071,0.25,0.3714,0.4256,0.4671,0.5588,0.2857,0.2857,0.5,0.3796,0.3071,0.4048,0.3633,0.4345,0.5383,0.5588,0.4286,0.7857,0.7273,0.7241,0.7432,0.4048,0.3633,0.3193,0.5383,0.5588
HARA,321,81,12,19.65,0.6235,0.6918,0.6164,0.7063,0.6226,0.6437,0.6252,0.4065,0.6393,0.5935,0.6093,0.634,0.5644,0.1989,0.161,0.093,37.04,67.9,1.0,0.75,0.4643,0.4786,0.6212,0.6103,0.5064,0.4815,0.5931,0.6235,0.8571,0.7381,0.55,0.4643,0.5833,0.5556,0.6019,0.574,0.5557,0.6235,0.75,0.6429,0.4643,0.4643,0.542,0.5583,0.5593,0.4815,0.5931,0.6235
HCC-15,322,81,12,7.2,0.6333,0.6944,0.6422,0.6778,0.64,0.5367,0.6889,0.6489,0.6956,0.5811,0.6533,0.5822,0.6156,0.0708,0.0738,0.0169,79.01,92.59,0.75,0.5,0.3261,0.2419,0.1923,0.1596,0.3889,0.3387,0.3,0.6333,0.75,0.5,0.3261,0.2419,0.1923,0.1596,0.3889,0.3387,0.3,0.6333,,,,0.125,0.125,0.1596,0.3889,0.3387,0.3,0.6333
HCC-366,204,52,12,4.69,0.76,0.855,0.46,0.23,0.71,0.87,0.25,0.45,0.89,0.745,0.59,0.68,0.66,0.0408,0.0466,0.0039,90.38,96.15,,,,,,,0.9444,0.8293,0.8444,0.76,,,,,0.96,0.9677,0.9167,0.8293,0.8444,0.76,,0.9,0.8667,0.8,0.76,0.8065,0.8333,0.8293,0.8444,0.76
HCC-44,314,79,12,29.26,0.5685,0.5064,0.4556,0.5323,0.5316,0.5302,0.5948,0.4966,0.5806,0.6418,0.4785,0.4207,0.6741,0.2599,0.188,0.1359,2.53,53.16,0.2,0.6562,0.4286,0.4534,0.3791,0.3455,0.4509,0.4719,0.5407,0.5685,0.1875,0.254,0.3203,0.368,0.4027,0.4175,0.4367,0.5058,0.5846,0.5685,0.3125,0.4762,0.3926,0.3708,0.3681,0.3455,0.4481,0.5058,0.5391,0.5685
HCC-78,320,80,12,22.75,0.5538,0.5862,0.4749,0.4544,0.4954,0.5959,0.4831,0.5559,0.5446,0.3949,0.5097,0.4492,0.3887,0.2203,0.1778,0.1001,15.0,60.0,0.8571,0.6071,0.6875,0.5778,0.5974,0.5438,0.5609,0.5249,0.5056,0.5538,0.8571,0.7857,0.6032,0.5556,0.5974,0.55,0.5319,0.5849,0.6094,0.5538,1.0,0.7692,0.6349,0.5778,0.5196,0.5438,0.5609,0.5721,0.5837,0.5538
HCC-827,316,80,12,8.33,0.7185,0.7579,0.8063,0.8041,0.732,0.6565,0.7635,0.6959,0.6577,0.6914,0.6441,0.6644,0.6644,0.0761,0.0816,0.0224,72.5,88.75,,,0.9091,0.6667,0.5263,0.4348,0.3704,0.7322,0.6925,0.7185,,,0.9091,0.6667,0.5263,0.4348,0.3704,0.5519,0.6925,0.7185,,,,0.45,0.4342,0.4348,0.3704,0.5519,0.6925,0.7185
HOP-62,339,85,12,20.28,0.507,0.5817,0.4621,0.5196,0.5617,0.5947,0.6431,0.3675,0.5351,0.5365,0.4572,0.5238,0.5666,0.1567,0.1505,0.0447,36.47,71.76,0.75,0.6538,0.609,0.664,0.5513,0.4352,0.5239,0.4778,0.4728,0.507,0.7143,0.4545,0.5359,0.5265,0.5333,0.4807,0.5075,0.4995,0.5026,0.507,0.3889,0.4545,0.5625,0.5795,0.5667,0.4826,0.5075,0.5124,0.4719,0.507
HOP-92,284,71,12,8.45,0.3909,0.6045,0.2394,0.3788,0.5788,0.3773,0.2606,0.6818,0.397,0.5333,0.3909,0.3091,0.4121,0.0997,0.1023,0.0368,63.38,81.69,,,,0.8519,0.8323,0.6789,0.5733,0.4962,0.4373,0.3909,,,1.0,0.94,0.8047,0.6789,0.5733,0.4962,0.4373,0.3909,,,0.6667,0.7821,0.7742,0.6789,0.5733,0.4962,0.4373,0.3909
IA-LM,334,84,12,7.18,0.6937,0.5937,0.4987,0.4608,0.7215,0.5291,0.3392,0.4785,0.6051,0.4519,0.4633,0.5646,0.4759,0.0596,0.0674,0.0061,84.52,94.05,,,0.68,0.5152,0.4146,0.34,0.2931,0.793,0.7718,0.6937,0.375,0.625,0.56,0.4848,0.3902,0.34,0.6404,0.5682,0.7049,0.6937,,,,,0.2927,0.34,0.6404,0.5682,0.7049,0.6937
KNS-62,246,62,12,11.36,0.3836,0.3233,0.3966,0.375,0.556,0.3384,0.4526,0.25,0.3233,0.3427,0.4741,0.375,0.5388,0.1171,0.1233,0.042,59.68,77.42,,0.6364,0.4118,0.4848,0.381,0.3048,0.2602,0.227,0.2013,0.3836,1.0,0.6364,0.4118,0.4697,0.381,0.3048,0.2602,0.227,0.2013,0.3836,,0.5455,0.4118,0.4848,0.381,0.3048,0.2602,0.227,0.2013,0.3836
LC-1-sq,287,72,12,6.41,0.7075,0.7687,0.5284,0.7552,0.5373,0.7328,0.4537,0.5701,0.7851,0.809,0.6985,0.206,0.7284,0.0647,0.0757,0.0219,79.17,87.5,,0.9286,0.619,0.7037,0.5588,0.4524,0.3878,0.3393,0.3016,0.7075,,0.5,0.5238,0.6111,0.5441,0.4524,0.3878,0.3393,0.3016,0.7075,,,,,0.5714,0.4167,0.3878,0.3393,0.3016,0.7075
LC-2-ad,294,74,12,32.34,0.6431,0.6402,0.5837,0.6536,0.5971,0.6555,0.6507,0.6258,0.6067,0.5531,0.5828,0.4526,0.5493,0.3218,0.212,0.2163,1.35,44.59,0.2857,0.5,0.5556,0.5963,0.6389,0.6283,0.6617,0.6813,0.6599,0.6431,0.7143,0.5,0.5395,0.5,0.4667,0.615,0.5676,0.6326,0.6576,0.6431,0.2857,0.5278,0.4211,0.5069,0.5733,0.6667,0.6351,0.6799,0.6599,0.6431
LCLC-103H,316,80,12,10.35,0.5399,0.5454,0.4617,0.4507,0.3787,0.5321,0.5477,0.5196,0.4397,0.4585,0.3239,0.4538,0.4225,0.0818,0.0918,0.0179,70.0,85.0,0.5714,0.4643,0.4762,0.4643,0.3611,0.414,0.349,0.4167,0.4505,0.5399,,0.2667,0.4603,0.4643,0.3611,0.414,0.349,0.4167,0.3662,0.5399,0.2857,0.4615,0.4921,0.3929,0.3611,0.414,0.349,0.4167,0.3662,0.5399
LCLC-97TM1,321,81,12,28.86,0.5051,0.6031,0.4295,0.5645,0.4907,0.5085,0.5357,0.4779,0.5229,0.5768,0.483,0.6231,0.5399,0.2653,0.1776,0.13,1.23,71.6,0.2857,0.55,0.5159,0.3571,0.434,0.4761,0.5365,0.4973,0.5021,0.5051,0.5,0.4333,0.33,0.3901,0.4258,0.4662,0.4278,0.5357,0.4814,0.5051,0.45,0.5333,0.33,0.435,0.4271,0.4689,0.493,0.5357,0.5021,0.5051
LK-2,320,80,12,19.0,0.5645,0.5952,0.4336,0.5244,0.6221,0.5664,0.4971,0.6201,0.5254,0.5928,0.5557,0.4893,0.6318,0.1928,0.1701,0.0842,32.5,62.5,0.1429,0.4643,0.55,0.4963,0.4951,0.5438,0.604,0.6003,0.593,0.5645,0.5333,0.5897,0.5079,0.6343,0.6055,0.5783,0.5616,0.5369,0.5468,0.5645,0.1429,0.5897,0.5875,0.5769,0.5411,0.6026,0.6121,0.6003,0.593,0.5645
LOU-NH91,321,81,12,8.46,0.631,0.6014,0.6465,0.6169,0.693,0.6915,0.7239,0.769,0.4901,0.6627,0.6028,0.7197,0.607,0.07,0.0701,0.0223,81.48,90.12,0.8571,0.4,0.4848,0.3556,0.2807,0.2319,0.4846,0.5169,0.5303,0.631,0.875,0.5476,0.5,0.4556,0.4595,0.5227,0.4692,0.5141,0.6476,0.631,,0.4667,0.4565,0.5,0.6228,0.5,0.4692,0.5141,0.5962,0.631
LU-65,342,86,12,5.14,0.8824,0.9059,0.7059,0.7294,0.9412,0.9529,0.7882,0.4941,0.9765,0.6824,0.8471,0.9412,0.6471,0.0633,0.08,0.0155,75.58,89.53,,,,,,,,,0.974,0.8824,,,,,,,,0.9853,0.961,0.8824,,,,,,,,0.9853,0.961,0.8824
LU-99A,316,79,12,9.62,0.5388,0.4566,0.4412,0.4572,0.5388,0.5434,0.5401,0.5348,0.5134,0.5027,0.5241,0.4679,0.5668,0.0796,0.0895,0.0265,73.42,84.81,0.6667,0.2857,0.3968,0.2874,0.5143,0.504,0.5044,0.5,0.5468,0.5388,,0.2143,0.5125,0.4464,0.3889,0.4186,0.5044,0.5,0.5468,0.5388,0.1667,0.1786,0.1905,0.2184,0.3333,0.4186,0.5044,0.5,0.5468,0.5388
LXF-289,342,86,12,24.07,0.7777,0.7113,0.7125,0.802,0.6874,0.7101,0.6284,0.7023,0.6489,0.6386,0.6379,0.769,0.7604,0.254,0.1872,0.1408,13.95,54.65,,0.7059,0.48,0.6771,0.5417,0.6884,0.6934,0.7335,0.74,0.7777,,0.9412,0.8116,0.8065,0.8105,0.7246,0.6333,0.7185,0.7704,0.7777,,,0.75,0.7917,0.8198,0.7302,0.6376,0.7051,0.74,0.7777
NCI-H1155,341,86,12,15.22,0.455,0.4437,0.4358,0.4718,0.3412,0.4831,0.4685,0.4887,0.5169,0.469,0.4854,0.5304,0.4505,0.16,0.1426,0.0652,48.84,74.42,0.6429,0.5,0.3182,0.3467,0.2737,0.4381,0.5471,0.4729,0.5101,0.455,0.7143,0.5846,0.4381,0.3333,0.4009,0.3406,0.4872,0.4881,0.5076,0.455,0.7778,0.5,0.4476,0.34,0.2737,0.3442,0.4872,0.4729,0.5101,0.455
NCI-H1299,324,82,12,7.64,0.4571,0.4675,0.4649,0.4753,0.5948,0.3948,0.4104,0.374,0.6,0.5805,0.426,0.4753,0.3688,0.0847,0.0944,0.0249,68.29,85.37,,0.5625,0.375,0.7556,0.5965,0.5924,0.5046,0.4395,0.5101,0.4571,0.6429,0.5333,0.6087,0.6667,0.5965,0.5924,0.5046,0.5574,0.5043,0.4571,0.4286,0.4333,0.5,0.5667,0.5439,0.5924,0.5046,0.5574,0.5072,0.4571
NCI-H1355,342,86,12,10.05,0.6039,0.452,0.6421,0.4211,0.6605,0.5421,0.4118,0.5711,0.5513,0.4836,0.6158,0.6368,0.6039,0.0951,0.1031,0.0267,70.93,84.88,0.125,0.4062,0.2708,0.4062,0.4936,0.5234,0.4393,0.4735,0.5589,0.6039,,0.3438,0.3125,0.3125,0.2833,0.3906,0.5364,0.553,0.5571,0.6039,0.125,0.4062,0.4375,0.3333,0.3167,0.401,0.5364,0.4735,0.5571,0.6039
NCI-H1435,316,80,12,4.55,0.8182,0.8333,0.7619,0.6883,0.7316,0.9437,0.8009,0.7576,0.8312,0.7944,0.7749,0.7619,0.7922,0.055,0.0605,0.0164,81.25,91.25,,,,,,0.8723,0.7455,0.6508,0.5775,0.8182,,,,,,0.8511,0.7273,0.6508,0.7857,0.8182,,,,0.6774,0.6923,0.6809,0.6727,0.6508,0.5775,0.8182
NCI-H1437,276,70,12,19.36,0.4509,0.6127,0.7083,0.3771,0.5577,0.5182,0.5246,0.5267,0.5556,0.5716,0.3365,0.4274,0.4658,0.17,0.1535,0.0585,40.0,71.43,0.6,0.6,0.5444,0.5673,0.464,0.4806,0.4878,0.4504,0.4229,0.4509,0.5,0.5,0.4796,0.4795,0.5189,0.5279,0.4857,0.4423,0.4189,0.4509,0.5,0.6,0.5673,0.5029,0.5303,0.5305,0.5275,0.4488,0.4229,0.4509
NCI-H1563,321,81,12,8.71,0.6237,0.5737,0.6789,0.4947,0.6684,0.7053,0.5447,0.5579,0.6211,0.4553,0.6132,0.5605,0.5447,0.0854,0.0912,0.0199,70.37,90.12,,,0.9167,0.6875,0.7308,0.7246,0.6173,0.5376,0.587,0.6237,,,0.8333,0.625,0.7821,0.7246,0.6173,0.5376,0.587,0.6237,0.375,0.5625,0.8043,0.7581,0.7692,0.7246,0.6173,0.5376,0.587,0.6237
NCI-H1568,322,81,12,8.93,0.6143,0.5896,0.5961,0.5558,0.5584,0.6344,0.7312,0.6818,0.8143,0.6935,0.513,0.6494,0.5701,0.0836,0.0914,0.0313,71.6,83.95,0.8571,0.4,0.2609,0.1935,0.527,0.5969,0.5033,0.5123,0.5115,0.6143,0.5714,0.4,0.2609,0.4444,0.6333,0.5969,0.5033,0.5768,0.5115,0.6143,0.7,0.6538,0.55,0.5714,0.6095,0.5969,0.5033,0.5768,0.5115,0.6143
NCI-H1573,266,67,12,5.11,0.2738,0.502,0.377,0.5,0.4365,0.4325,0.3452,0.5317,0.5675,0.3036,0.2817,0.619,0.1865,0.0446,0.0547,0.0049,91.04,97.01,,0.6667,0.5926,0.4444,0.3441,0.4662,0.4012,0.345,0.3026,0.2738,0.3333,0.2308,0.2,0.2,0.3118,0.2807,0.4012,0.345,0.3026,0.2738,0.6,0.4583,0.4706,0.3913,0.4167,0.4257,0.3953,0.345,0.3026,0.2738
NCI-H1581,338,85,12,21.28,0.5169,0.5154,0.4254,0.4962,0.52,0.5492,0.5331,0.5469,0.5592,0.5158,0.5462,0.5438,0.4638,0.2107,0.1674,0.0977,27.06,60.0,0.7222,0.4231,0.3619,0.369,0.5545,0.547,0.5719,0.5629,0.5499,0.5169,0.5,0.3654,0.3619,0.524,0.5576,0.5227,0.5233,0.4956,0.516,0.5169,0.6111,0.4231,0.3619,0.5385,0.5065,0.5556,0.5644,0.4855,0.5499,0.5169
NCI-H1623,322,81,12,11.91,0.759,0.7172,0.6912,0.7183,0.6663,0.7387,0.6991,0.6957,0.7251,0.7755,0.7839,0.7557,0.6482,0.1127,0.1123,0.0449,64.2,76.54,,0.875,0.7174,0.6444,0.5088,0.5667,0.5923,0.596,0.6404,0.759,,0.8125,0.7727,0.6333,0.5,0.5444,0.5769,0.5932,0.684,0.759,0.7857,0.7381,0.7273,0.6333,0.5088,0.55,0.5769,0.596,0.6404,0.759
NCI-H1648,292,73,12,24.38,0.5384,0.5877,0.4759,0.5877,0.5603,0.6239,0.5428,0.6327,0.5647,0.4978,0.352,0.5011,0.4561,0.2295,0.1775,0.127,21.92,54.79,0.4167,0.1923,0.4035,0.4423,0.6238,0.6706,0.6229,0.5686,0.605,0.5384,0.1667,0.1923,0.4035,0.528,0.6825,0.619,0.6188,0.5652,0.5673,0.5384,0.4167,0.1923,0.4211,0.6181,0.7103,0.6706,0.6667,0.5686,0.605,0.5384
NCI-H1650,334,84,12,4.55,0.7719,0.5703,0.7125,0.7219,0.5719,0.6578,0.5469,0.5656,0.5281,0.7812,0.8312,0.8062,0.7594,0.0486,0.0575,0.0156,84.52,90.48,,,,,,0.88,0.7586,0.8718,0.7763,0.7719,,,,,0.9756,0.88,0.7586,0.8667,0.7763,0.7719,,,0.68,0.7273,0.875,0.8673,0.8684,0.8667,0.7763,0.7719
NCI-H1651,321,81,12,12.69,0.613,0.5231,0.6216,0.5719,0.6233,0.4709,0.5702,0.5651,0.5257,0.5745,0.5651,0.512,0.6045,0.1037,0.1019,0.0232,69.14,90.12,0.875,0.4375,0.6522,0.4839,0.5702,0.6111,0.6077,0.5267,0.5522,0.613,0.6429,0.5667,0.4783,0.4355,0.3718,0.471,0.5142,0.4508,0.5498,0.613,0.7143,0.7,0.5435,0.4516,0.3846,0.471,0.5142,0.4508,0.5522,0.613
NCI-H1666,337,85,12,5.69,0.7381,0.63,0.6062,0.6538,0.6612,0.8214,0.7546,0.8077,0.6282,0.7427,0.5916,0.6392,0.6447,0.0456,0.0471,0.017,88.24,94.12,1.0,0.5,0.32,0.2424,0.5366,0.449,0.3793,0.5538,0.5959,0.7381,,,,0.6094,0.5122,0.449,0.3793,0.3333,0.5959,0.7381,,,0.9792,0.9844,0.9878,0.6649,0.6607,0.6523,0.5959,0.7381
NCI-H1693,281,71,12,4.55,0.4621,0.5268,0.6451,0.6183,0.5871,0.4911,0.4643,0.5112,0.5804,0.4665,0.4129,0.4375,0.3103,0.0239,0.0291,0.0018,97.18,97.18,0.7143,0.6923,0.5439,0.3974,0.3131,0.2583,0.5111,0.5914,0.5188,0.4621,1.0,0.7857,0.45,0.3974,0.3131,0.4487,0.6645,0.5914,0.5188,0.4621,0.8333,0.8462,0.6316,0.68,0.6278,0.6351,0.5615,0.56,0.5188,0.4621
NCI-H1703,266,67,12,22.52,0.497,0.4341,0.6197,0.4803,0.4955,0.4833,0.4924,0.4424,0.4485,0.4508,0.5273,0.4379,0.5394,0.2235,0.1753,0.1124,22.39,55.22,,0.85,0.5,0.5714,0.5185,0.4118,0.4327,0.4296,0.4927,0.497,,0.5385,0.5,0.3696,0.4276,0.4333,0.4615,0.4158,0.4353,0.497,,0.5385,0.5,0.3696,0.3517,0.4706,0.5058,0.4296,0.4927,0.497
NCI-H1734,260,66,12,14.72,0.6511,0.6394,0.694,0.6628,0.6335,0.5478,0.4561,0.5049,0.6686,0.6764,0.5497,0.3626,0.6179,0.1397,0.1325,0.0524,54.55,75.76,0.8333,0.3846,0.2632,0.56,0.6333,0.5135,0.6429,0.705,0.7146,0.6511,,0.3846,0.2632,0.6,0.6,0.625,0.6992,0.6383,0.6659,0.6511,,0.3846,0.2632,0.56,0.6111,0.625,0.6992,0.6418,0.7146,0.6511
NCI-H1755,321,81,12,18.66,0.7414,0.6596,0.6475,0.6515,0.6455,0.6434,0.6646,0.6465,0.6879,0.599,0.7222,0.6485,0.6141,0.1885,0.1638,0.0824,30.86,66.67,,1.0,0.7174,0.5323,0.6228,0.6909,0.7114,0.6925,0.6508,0.7414,,,0.8261,0.7581,0.641,0.6056,0.5283,0.6964,0.6862,0.7414,,,0.6667,0.7581,0.5965,0.6222,0.5846,0.6925,0.6508,0.7414
NCI-H1770,298,75,12,12.87,0.6287,0.6325,0.541,0.4123,0.6175,0.5504,0.6082,0.347,0.6455,0.5877,0.4907,0.5877,0.6101,0.1262,0.1283,0.0392,58.67,77.33,,,0.8182,0.6207,0.7361,0.7988,0.7458,0.7068,0.7021,0.6287,,0.7143,0.8333,0.8036,0.8381,0.7805,0.7458,0.7253,0.6979,0.6287,,0.7143,0.7273,0.8036,0.75,0.7988,0.7458,0.7682,0.7021,0.6287
NCI-H1781,322,81,12,11.41,0.851,0.7217,0.7089,0.7123,0.774,0.7517,0.7997,0.7038,0.6901,0.774,0.7209,0.8134,0.7825,0.127,0.1217,0.0508,60.49,75.31,,,,,,,0.9455,0.8893,0.8353,0.851,,,,,0.9487,0.9574,0.9182,0.9167,0.8706,0.851,,,,,1.0,0.9574,0.9273,0.8893,0.8353,0.851
